"DATE_TIME","AIRTEMP","RH_AVG","DEWPT","WS","GHI","DNI","DIFF","POA"
"2023-07-27 01:30:00",22.98,83.6,20.06,0.937,0,0,0,0
"2023-07-27 01:40:00",22.82,84.7,20.12,0.635,0,0,0,0
"2023-07-27 01:50:00",22.63,86.4,20.26,1.288,0,0,0,0
"2023-07-27 02:00:00",22.67,87.7,20.54,2.013,0,0,0,0
"2023-07-27 02:10:00",22.62,88.4,20.62,1.44,0,0,0,0
"2023-07-27 02:20:00",22.61,89.2,20.76,1.471,0,0,0,0
"2023-07-27 02:30:00",22.57,90,20.86,0.944,0,0,0,0
"2023-07-27 02:40:00",22.47,90.7,20.9,0.747,0,0,0,0
"2023-07-27 02:50:00",22.4,91.6,20.97,0.99,0,0,0,0
"2023-07-27 03:00:00",22.34,92.1,21.02,0.889,0,0,0,0
"2023-07-27 03:10:00",22.36,92.6,21.12,0.938,0,0,0,0
"2023-07-27 03:20:00",22.44,92.9,21.25,1.332,0,0,0,0
"2023-07-27 03:30:00",22.5,92.8,21.3,1.267,0,0,0,0
"2023-07-27 03:40:00",22.54,92.9,21.35,1.214,0,0,0,0
"2023-07-27 03:50:00",22.61,93,21.44,1.517,0,0,0,0
"2023-07-27 04:00:00",22.67,92.8,21.46,1.674,0,0,0,0
"2023-07-27 04:10:00",22.81,92.7,21.58,2.142,0,0,0,0
"2023-07-27 04:20:00",22.87,92.8,21.67,1.944,0,0,0,0
"2023-07-27 04:30:00",22.86,93.3,21.74,2.082,0,0,0,0
"2023-07-27 04:40:00",22.83,93.6,21.75,1.868,0,0,0,0
"2023-07-27 04:50:00",22.8,93.6,21.74,1.693,0,0,0,0
"2023-07-27 05:00:00",22.81,93.6,21.75,1.259,0,0,0,0
"2023-07-27 05:10:00",22.89,93.7,21.83,1.375,0,0,0,0
"2023-07-27 05:20:00",22.98,93.4,21.88,1.19,0,0,0,0
"2023-07-27 05:30:00",23.03,93.4,21.92,1.156,0,0,0,0
"2023-07-27 05:40:00",23.1,93.8,22.07,1.536,0,0,0,0
"2023-07-27 05:50:00",23.18,94.1,22.2,1.584,0,0,0,1
"2023-07-27 06:00:00",23.24,94.6,22.35,1.865,2,0,2,3
"2023-07-27 06:10:00",23.29,95,22.46,1.436,3.3,0,3.3,4.5
"2023-07-27 06:20:00",23.41,95.2,22.62,1.151,5,0,5,5
"2023-07-27 06:30:00",23.57,95.3,22.79,1.22,8.3,0,8.3,10
"2023-07-27 06:40:00",23.68,95.2,22.89,0.963,16.9,0,16.9,15.92
"2023-07-27 06:50:00",23.84,95,23,0.98,31.8,0,31.8,27.83
"2023-07-27 07:00:00",24.07,94.2,23.09,1.458,52.4,0,52.4,48.33
"2023-07-27 07:10:00",24.3,93.2,23.14,1.204,76.9,0,76.9,79.25
"2023-07-27 07:20:00",24.54,92.2,23.22,2.141,91.8,0,91.8,85.1
"2023-07-27 07:30:00",24.75,91.3,23.26,1.664,89.8,0,89.8,79.75
"2023-07-27 07:40:00",24.87,90.7,23.26,1.671,82.9,0,82.9,86.7
"2023-07-27 07:50:00",25.01,90.3,23.32,1.688,85.6,0,85.6,92.7
"2023-07-27 08:00:00",25.11,89.9,23.34,1.791,129.5,0,129.5,123.4
"2023-07-27 08:10:00",25.29,89,23.36,2.079,135.6,0,135.6,135.8
"2023-07-27 08:20:00",25.42,88.4,23.38,2.425,75,0,75,70.25
"2023-07-27 08:30:00",25.52,88.3,23.46,2.104,153.1,0,153.1,166.3
"2023-07-27 08:40:00",25.86,87.2,23.58,1.925,171.7,0,171.7,165.1
"2023-07-27 08:50:00",26.16,85.9,23.63,2.152,145.9,0,145.9,141.1
"2023-07-27 09:00:00",26.45,84.6,23.65,2.237,104.8,0,104.8,112.5
"2023-07-27 09:10:00",26.62,83.5,23.61,1.701,122.7,0,122.7,127.2
"2023-07-27 09:20:00",27.01,81.4,23.57,2.083,154.5,0,154.5,170.1
"2023-07-27 09:30:00",27.41,79.85,23.64,1.175,153.3,0,153.3,147.2
"2023-07-27 09:40:00",27.66,78.57,23.61,0.007,127.8,1.2,127,333.4
"2023-07-27 09:50:00",28.32,76.14,23.73,0.464,519.6,556.1,138.7,378.7
"2023-07-27 10:00:00",28.91,73.45,23.69,0.438,552.2,564.2,152.6,419.1
"2023-07-27 10:10:00",29.19,72,23.63,1.748,585.5,584,158.9,461.9
"2023-07-27 10:20:00",29.38,70.92,23.57,1.886,633,619.6,167.4,505.2
"2023-07-27 10:30:00",29.86,69.33,23.65,1.951,706,620.2,227.4,592.2
"2023-07-27 10:40:00",30.21,67.61,23.56,1.997,539.1,215.4,368.8,400.4
"2023-07-27 10:50:00",30.33,67.01,23.54,2.025,658.4,344,380.1,606.9
"2023-07-27 11:00:00",30.89,65.58,23.7,2.378,865.5,634.2,341.8,627.3
"2023-07-27 11:10:00",30.85,64.96,23.52,2.547,483.5,131.9,372.5,409.8
"2023-07-27 11:20:00",31.02,64.58,23.58,1.352,729.5,397.4,389.4,558.7
"2023-07-27 11:30:00",31.11,64.45,23.62,1.97,417.2,10.8,407.9,520.3
"2023-07-27 11:40:00",31.05,64.52,23.59,1.65,266.8,0,266.8,289.1
"2023-07-27 11:50:00",30.86,65.16,23.58,1.823,994,678.2,388.9,894
"2023-07-27 12:00:00",31.36,64.09,23.77,2.233,869.8,715.2,224.8,842
"2023-07-27 12:10:00",31.42,63.67,23.72,2.378,885.6,657.3,287.4,832
"2023-07-27 12:20:00",31.78,62.83,23.83,2.347,772.1,354.4,447.2,628.8
"2023-07-27 12:30:00",31.82,62.44,23.77,1.445,602.4,93.5,516.2,657.8
"2023-07-27 12:40:00",31.84,62.44,23.79,1.968,224.3,0,224.3,255.6
"2023-07-27 12:50:00",31.45,63.69,23.75,1.976,423.4,44.5,382.1,414.9
"2023-07-27 13:00:00",31.44,63.91,23.8,1.78,954.8,696.4,306.5,974
"2023-07-27 13:10:00",31.83,62.99,23.92,1.642,911,699.9,259.2,926
"2023-07-27 13:20:00",32.06,61.87,23.84,2.495,923,705.1,267.3,961
"2023-07-27 13:30:00",32.16,61.28,23.78,2.419,765.8,460.4,338.8,972
"2023-07-27 13:40:00",32.65,59.77,23.82,2.277,976.9,640.7,385.4,799.3
"2023-07-27 13:50:00",32.55,59.35,23.61,1.497,384.4,11.4,373.9,446.4
"2023-07-27 14:00:00",32.57,59.7,23.73,2.482,501.1,89.4,419.6,395.8
"2023-07-27 14:10:00",32.27,59.82,23.49,1.504,364.7,35,333.1,510
"2023-07-27 14:20:00",32.35,60.15,23.64,1.557,894.5,664.3,300.6,952
"2023-07-27 14:30:00",33.15,57.85,23.74,1.327,922.8,691.5,311.9,991
"2023-07-27 14:40:00",33.09,57.23,23.51,0.744,919.8,713,298.4,989
"2023-07-27 14:50:00",33.13,56.47,23.32,0,713.7,386.1,382.3,862
"2023-07-27 15:00:00",32.95,57.05,23.33,1.386,259.7,0,259.7,347.8
"2023-07-27 15:10:00",32.58,58.64,23.44,1.969,342.9,68.7,286,271.8
"2023-07-27 15:20:00",32.48,59,23.45,1.753,233.7,0,233.7,218.9
"2023-07-27 15:30:00",32.59,56.24,22.75,1.232,662,246,466.6,792.8
"2023-07-27 15:40:00",32.97,55.25,22.82,1.222,841.1,552.5,413,911
"2023-07-27 15:50:00",33.6,53.86,22.97,1.297,680.2,479.2,318.4,726.7
"2023-07-27 16:00:00",33.16,53.96,22.61,1.299,329.2,35.1,303.4,476
"2023-07-27 16:10:00",33.46,54.7,23.11,0.973,605.4,406.2,316.4,690.1
"2023-07-27 16:20:00",33.56,54.59,23.17,0.117,600.3,358.2,353.6,553.9
"2023-07-27 16:30:00",33.08,55.17,22.9,1.492,470,191.6,342.7,635.9
"2023-07-27 16:40:00",32.81,55.97,22.88,2.029,595.9,476.9,290.7,686.9
"2023-07-27 16:50:00",32.9,56.43,23.11,1.72,535.1,452.4,257.1,609.8
"2023-07-27 17:00:00",33.11,57.32,23.56,1.131,526.1,457.5,257,625.8
"2023-07-27 17:10:00",32.84,58.05,23.51,1.021,470.1,449.4,218,535.8
"2023-07-27 17:20:00",32.75,58.78,23.64,1.066,469.6,425.1,242.9,540.3
"2023-07-27 17:30:00",32.78,59.29,23.81,1.171,447,425.8,231.9,419.5
"2023-07-27 17:40:00",32.73,60.12,24,1.214,327.8,274.6,197,373.3
"2023-07-27 17:50:00",32.64,60.81,24.1,1.158,435.6,408.7,253,439.5
"2023-07-27 18:00:00",32.57,61.17,24.13,1.274,133.7,0.2,133.6,238.2
"2023-07-27 18:10:00",32.21,61.96,24.01,1.777,107.1,10.7,103,327.6
"2023-07-27 18:20:00",32.2,62.54,24.15,1.72,95.8,0,95.8,96.5
"2023-07-27 18:30:00",32.08,63.1,24.19,1.09,89.4,1.2,89,84.4
"2023-07-27 18:40:00",31.98,63.82,24.29,0.904,167.7,150.4,123.5,127.3
"2023-07-27 18:50:00",31.91,64.62,24.43,0.858,68,0,68,75.75
"2023-07-27 19:00:00",31.93,64.72,24.48,1.344,74.6,0,74.6,67.58
"2023-07-27 19:10:00",31.97,65.08,24.6,1.116,71.5,0,71.5,67.42
"2023-07-27 19:20:00",31.82,65.53,24.57,0.956,51,0,51,47.42
"2023-07-27 19:30:00",31.63,66.3,24.59,0.626,24.6,0,24.6,25
"2023-07-27 19:40:00",31.39,66.69,24.46,0.921,17.2,0,17.2,18
"2023-07-27 19:50:00",31.29,67.12,24.48,0.909,9,0,9,8
"2023-07-27 20:00:00",31.15,67.59,24.45,1.246,5.1,0,5.1,5
"2023-07-27 20:10:00",30.91,68.28,24.4,0.683,3,0,3,3
"2023-07-27 20:20:00",30.62,69.14,24.34,0.618,1,0,1,1.583
"2023-07-27 20:30:00",30.41,70.17,24.38,0,0,0,0,1
"2023-07-27 20:40:00",30.19,70.97,24.36,0.29,0,0,0,0
"2023-07-27 20:50:00",30.06,71.1,24.26,0.442,0,0,0,0
"2023-07-27 21:00:00",30.01,70.65,24.11,0.354,0,0,0,0
"2023-07-27 21:10:00",29.93,70.73,24.05,0.479,0,0,0,0
"2023-07-27 21:20:00",29.89,70.59,23.98,0.36,0,0,0,0
"2023-07-27 21:30:00",29.9,70.19,23.89,0.364,0,0,0,0
"2023-07-27 21:40:00",29.72,70.16,23.71,0.463,0,0,0,0
"2023-07-27 21:50:00",29.53,71.45,23.84,0.198,0,0,0,0
"2023-07-27 22:00:00",29.54,71.42,23.83,0.273,0,0,0,0
"2023-07-27 22:10:00",29.58,69.08,23.32,0.392,0,0,0,0
"2023-07-27 22:20:00",29.57,68,23.05,0.229,0,0,0,0
"2023-07-27 22:30:00",29.53,67.87,22.99,0.168,0,0,0,0
"2023-07-27 22:40:00",29.42,67.84,22.88,0.408,0,0,0,0
"2023-07-27 22:50:00",29.25,68.37,22.84,0.279,0,0,0,0
"2023-07-27 23:00:00",29.1,68.42,22.71,0.508,0,0,0,0
"2023-07-27 23:10:00",29.08,68.1,22.61,0.198,0,0,0,0
"2023-07-27 23:20:00",29.09,68.33,22.68,0.1,0,0,0,0
"2023-07-27 23:30:00",29.02,69.42,22.87,0.048,0,0,0,0
"2023-07-27 23:40:00",28.86,70.06,22.87,0.173,0,0,0,0
"2023-07-27 23:50:00",28.77,70.4,22.86,0.002,0,0,0,0
"2023-07-28 00:00:00",28.61,71.76,23.03,0.019,0,0,0,0
"2023-07-28 00:10:00",28.43,72.46,23.01,0.026,0,0,0,0
"2023-07-28 00:20:00",28.38,73.46,23.19,0.249,0,0,0,0
"2023-07-28 00:30:00",27.78,76.93,23.39,0.436,-0.3,0,-0.3,0
"2023-07-28 00:40:00",26.96,82.6,23.77,0.221,0,0,0,0
"2023-07-28 00:50:00",26.44,85,23.74,0.018,0,0,0,0
"2023-07-28 01:00:00",26.07,86.5,23.65,0.196,0,0,0,0
"2023-07-28 01:10:00",25.83,86.7,23.45,0.087,0,0,0,0
"2023-07-28 01:20:00",25.82,86.7,23.45,0.023,0,0,0,0
"2023-07-28 01:30:00",25.69,87.8,23.54,0.005,0,0,0,0
"2023-07-28 01:40:00",25.57,88.6,23.57,0.084,0,0,0,0
"2023-07-28 01:50:00",25.47,89.3,23.59,0.088,0,0,0,0
"2023-07-28 02:00:00",25.32,90,23.57,0.243,0,0,0,0
"2023-07-28 02:10:00",25.24,90.1,23.51,0.552,0,0,0,0
"2023-07-28 02:20:00",25.33,89.4,23.47,0.427,0,0,0,0
"2023-07-28 02:30:00",25.34,89,23.42,0.383,0,0,0,0
"2023-07-28 02:40:00",25.3,89,23.37,0.218,0,0,0,0
"2023-07-28 02:50:00",25.36,89.2,23.46,0.186,0,0,0,0
"2023-07-28 03:00:00",25.51,88.9,23.56,0.161,0,0,0,0
"2023-07-28 03:10:00",25.43,88.3,23.36,0.233,0,0,0,0
"2023-07-28 03:20:00",25.34,88.4,23.3,0.169,0,0,0,0
"2023-07-28 03:30:00",25.26,89.2,23.38,0.265,0,0,0,0
"2023-07-28 03:40:00",25.13,90.1,23.41,0.057,0,0,0,0
"2023-07-28 03:50:00",25.01,91.7,23.58,0.118,0,0,0,0
"2023-07-28 04:00:00",24.88,92.6,23.62,0.293,0,0,0,0
"2023-07-28 04:10:00",24.87,93.7,23.79,0.066,0,0,0,0
"2023-07-28 04:20:00",24.74,94.1,23.74,0.364,0,0,0,0
"2023-07-28 04:30:00",24.6,94.1,23.62,0.119,0,0,0,0
"2023-07-28 04:40:00",24.5,94.4,23.55,0.123,0,0,0,0
